FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
A,Annual,ABW,Aruba,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.3029,137.7038,141.436,160.6794,179.1593,200.4632,205.6413,224.4947,224.3907,235.0415,255.4376,255.0276,269.6526,262.9176,259.9557,264.6779,254.8731,280.1677,276.6492,274.285,291.7737,291.5478,285.6554,284.2506,288.022,293.8669,296.8968,296.3129,295.14,297.7854,293.1267,328.1017
A,Annual,AFG,Afghanistan,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,10783.7374,10899.2453,11258.7671,11454.0975,11717.5817,12136.5056,12239.6441,12626.1455,12541.6588,21995.6428,21886.8401,19601.5325,20233.1798,20997.5013,21813.962,22086.6305,21802.5843,21742.3733,21446.7777,21445.4117,21423.8004,21420.5207,20733.4913,19582.4468,18510.8433,16891.2517,17501.0055,17908.2483,17795.8669,9572.4742,9942.2755,10001.9592,10087.9383,10225.0284,10727.9492,11783.5273,12833.5626,13680.3203,14785.5602,12934.9927,11172.6062,13879.1014,14470.3401,14382.4442,14916.9224,15141.5857,15421.601,17066.5935,17874.3186,20254.2934,20767.5108,20812.6339,21055.1969,21887.9176,21889.6756,21781.5398,21582.1465,21952.1987,22090.7409,22270.883,22315.4346
A,Annual,AGO,Angola,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,2373.2983,2471.2251,2576.7871,2791.8403,3024.4059,3157.6112,3436.1709,3452.7204,3687.6096,4045.8821,4347.1213,4473.688,4558.0135,4575.4492,4639.707,4423.833,4571.9467,4670.484,4822.0573,4955.4885,4999.5948,5072.1314,5142.8171,5224.4074,5330.0874,5391.7382,5245.3724,5132.8266,5039.0462,58023.7589,58160.5777,58310.0501,58246.6406,58347.804,58216.9642,56486.7381,54638.3558,62819.7338,59386.1274,54944.5111,81349.4866,82807.0851,88561.2177,90247.8583,90926.4718,85518.6151,87961.8119,87997.3862,90612.5505,94372.6413,94186.8666,93427.8546,92899.5181,91158.575,92697.2741,90470.9919,95411.9515,84481.666,93522.1342,88488.3073,88450.3468
A,Annual,AIA,Anguilla,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2997,11.4569,12.3429,13.9888,14.109,15.0897,15.6608,16.8347,17.6085,18.1548,19.8785,21.6526,22.2248,22.4937,25.0758,25.5163,28.5265,32.6256,30.2819,30.5569,33.4663,33.0564,31.9077,31.1555,33.0349,39.6771,40.6581,36.2602,36.4822,38.9916,35.1127,40.7105
A,Annual,ALB,Albania,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,2220.4387,2237.7291,2222.3939,2237.709,2393.2645,2392.501,2441.7283,2328.2074,2272.1954,2293.535,2254.3156,2218.7359,2286.7145,2358.9635,2385.5244,2573.9863,2698.3578,2973.9072,3080.0413,3155.3726,3236.7642,3255.5599,3318.5404,3333.8126,3219.8441,3340.7681,3506.3775,3684.5054,3810.9254,4779.192,4262.9053,4156.7389,4345.8818,5281.0825,5530.1744,5220.9135,4831.1404,4826.8217,5081.2177,5236.2752,5197.842,5350.59,5189.3063,5364.076,5276.5165,5436.1499,5166.9406,4956.7639,4764.6486,4934.1583,5003.8428,4964.3897,5053.0376,5227.9219,5203.3296,5286.4106,5300.7735,5092.8473,4942.9344,4637.2006,4313.9221
A,Annual,AND,Andorra,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8877,95.6657,97.1949,93.3767,102.5865,117.7194,101.1901,104.6305,101.0242,110.884,109.5822,104.1702,103.7842,97.7126,105.402,102.6882,105.4834,96.1353,94.8405,95.3868,94.2922,96.7642,95.8673,93.4734,92.3561,91.9941,93.5517,94.933,99.0841,96.9542,82.4243,85.7224
A,Annual,ANT,Netherlands Antilles,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,197.1166,153.4438,139.4365,151.9399,263.8155,295.7103,263.3837,203.6963,255.631,297.9577,241.1755,209.3759,380.3086,401.1738,397.0327,427.9108,443.8551,450.391,491.3578,495.6366,519.8992,588.4819,467.9483,444.8665,636.5132,,,,,,,,,,,
A,Annual,ARE,United Arab Emirates,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,207.2903,209.3959,214.6219,221.3759,226.3096,232.8818,237.1868,245.6258,253.9668,262.6814,271.4285,274.0292,295.386,273.31,230.0175,157.3207,188.4002,225.5284,235.1733,262.7202,277.8838,297.4298,322.9397,343.6638,370.3197,391.3674,423.3019,449.8781,510.2153,4873.6434,5081.9627,5428.5071,6191.8309,6652.585,6788.2845,6473.7797,6880.0099,8235.8431,8744.1863,9421.9539,10288.5841,11591.9097,13042.6882,12684.6975,13018.9823,13458.1248,12797.7026,15029.1805,14908.9018,14943.3562,14924.5385,15178.1352,17342.4232,18728.7552,19285.2265,19019.5392,18966.7013,18967.2287,18437.8929,18442.6704,19560.0201
A,Annual,ARG,Argentina,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,104526.6115,104256.5428,98549.1425,103740.6508,112544.6001,116849.4982,122071.1885,121662.1522,114829.6397,133247.8168,135891.6004,139616.5568,145738.6793,146436.7238,150067.1207,154260.8648,160152.831,152628.7678,153378.7005,148847.7773,144961.5305,142820.8018,144824.3308,146254.9721,143104.5241,140825.7962,137156.3179,139796.5121,138380.7787,236404.274,234268.5291,238575.4454,237758.4268,241447.4422,243634.8062,243738.8696,244117.3364,238024.8626,243524.0714,244409.8864,288249.1776,293305.44,306883.8519,312690.9894,317444.9297,319407.0976,322477.2874,326148.8811,313648.3493,307430.3736,276863.1903,280648.9322,291118.2705,292427.8522,293807.1269,256151.6303,263774.8837,259656.205,261268.3326,259409.7389,263360.2653
A,Annual,ARM,Armenia,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2997.3446,1841.7261,1848.5462,1959.9366,1834.2442,1940.24,1885.3277,1934.7983,2155.1122,2403.7143,2523.2227,2682.2926,2878.4883,3000.0261,3368.6103,3479.6756,3650.3516,3353.2564,3139.3376,3116.0842,3481.9806,3601.6016,3441.2703,3483.2096,3916.3049,3538.0531,3487.2145,3512.4005,3573.4134,3716.2661
